#Tools,ToolInfo,Frame#,PortHandle,Face#,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,NDI-MF2 s/n:3A444400,6,Port:10,0,Missing,,,,,,,,,0
1,NDI-MF2 s/n:3A444400,14,Port:10,0,Missing,,,,,,,,,0
1,NDI-MF2 s/n:3A444400,22,Port:10,0,Enabled,0.550488,0.667407,0.395333,-0.308615,9.11032,0.366827,-106.847,2.65677,0
1,NDI-MF2 s/n:3A444400,30,Port:10,0,Enabled,0.550122,0.669155,0.396309,-0.304198,8.83391,-0.165637,-107.001,2.65627,0
1,NDI-MF2 s/n:3A444400,38,Port:10,0,Enabled,0.549944,0.670184,0.398322,-0.299591,8.48024,-0.793667,-107.258,2.66294,0
1,NDI-MF2 s/n:3A444400,46,Port:10,0,Enabled,0.549274,0.671988,0.399154,-0.295644,8.21133,-1.56159,-107.513,2.66523,0
1,NDI-MF2 s/n:3A444400,54,Port:10,0,Enabled,0.548756,0.673494,0.400239,-0.291688,8.06903,-2.14518,-107.609,2.66239,0
1,NDI-MF2 s/n:3A444400,62,Port:10,0,Enabled,0.548635,0.673988,0.402367,-0.287821,7.9392,-2.7738,-107.731,2.66472,0
1,NDI-MF2 s/n:3A444400,70,Port:10,0,Enabled,0.548087,0.674993,0.404259,-0.283832,7.78631,-3.73841,-107.953,2.66809,0
1,NDI-MF2 s/n:3A444400,78,Port:10,0,Enabled,0.547824,0.676216,0.406647,-0.277954,7.72743,-4.59445,-108.095,2.66469,0
1,NDI-MF2 s/n:3A444400,86,Port:10,0,Enabled,0.547533,0.67642,0.410301,-0.27261,7.5179,-5.44444,-108.293,2.67193,0
1,NDI-MF2 s/n:3A444400,94,Port:10,0,Enabled,0.546927,0.67762,0.412261,-0.267848,7.49032,-6.41772,-108.477,2.67125,0
1,NDI-MF2 s/n:3A444400,102,Port:10,0,Enabled,0.546573,0.67767,0.416225,-0.262256,7.42551,-7.53905,-108.664,2.67616,0
1,NDI-MF2 s/n:3A444400,110,Port:10,0,Enabled,0.545665,0.678822,0.418779,-0.257052,7.43743,-8.69215,-108.842,2.67604,0
1,NDI-MF2 s/n:3A444400,118,Port:10,0,Enabled,0.545021,0.679469,0.422559,-0.250437,7.43936,-9.74566,-109.027,2.67877,0
1,NDI-MF2 s/n:3A444400,126,Port:10,0,Enabled,0.544486,0.679835,0.425994,-0.244722,7.37467,-11.0724,-109.325,2.68127,0
1,NDI-MF2 s/n:3A444400,134,Port:10,0,Enabled,0.543389,0.681396,0.428288,-0.23874,7.66886,-12.3526,-109.498,2.67773,0
1,NDI-MF2 s/n:3A444400,142,Port:10,0,Enabled,0.541936,0.680782,0.43448,-0.232527,8.09334,-13.7489,-109.547,2.68049,0
1,NDI-MF2 s/n:3A444400,150,Port:10,0,Enabled,0.541414,0.678296,0.441747,-0.227258,8.68901,-15.3277,-109.567,2.68157,0
1,NDI-MF2 s/n:3A444400,158,Port:10,0,Enabled,0.540501,0.676669,0.447201,-0.223581,9.35586,-16.7327,-109.523,2.68159,0
1,NDI-MF2 s/n:3A444400,166,Port:10,0,Enabled,0.539159,0.674572,0.453144,-0.221181,10.1857,-17.8943,-109.316,2.68144,0
1,NDI-MF2 s/n:3A444400,174,Port:10,0,Enabled,0.537565,0.671982,0.459672,-0.21947,11.6421,-19.0281,-108.947,2.67861,0
1,NDI-MF2 s/n:3A444400,182,Port:10,0,Enabled,0.536165,0.666009,0.470239,-0.21871,13.0917,-20.546,-108.463,2.68039,0
1,NDI-MF2 s/n:3A444400,190,Port:10,0,Enabled,0.533196,0.662319,0.478457,-0.219349,14.65,-21.9583,-108.069,2.67536,0
1,NDI-MF2 s/n:3A444400,198,Port:10,0,Enabled,0.530144,0.65869,0.485793,-0.221539,16.0329,-22.6845,-107.621,2.67707,0
1,NDI-MF2 s/n:3A444400,206,Port:10,0,Enabled,0.527778,0.654488,0.490981,-0.228106,17.4784,-22.5934,-106.94,2.67791,0
1,NDI-MF2 s/n:3A444400,214,Port:10,0,Enabled,0.526466,0.649786,0.494161,-0.237522,19.0828,-22.0497,-106.118,2.67571,0
1,NDI-MF2 s/n:3A444400,222,Port:10,0,Enabled,0.526349,0.643447,0.497856,-0.247127,20.6433,-21.4328,-105.23,2.67454,0
